name,type,lat,lon,address
Thrikkakara Municipal Co-operative Hospital,hospital,10.01816,76.34672,"Thrikkakara Municipal Co-operative Hospital, Kakkanad, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682030, India"
vengola govt homoeo dispensary,hospital,10.0971798,76.4511132,"vengola govt homoeo dispensary, Aluva - Munnar Road, Perumbavoor, Kunnathunad, Ernakulam District, Kerala, 683500, India"
"Sunrise Hospital, Ernakulam",hospital,10.0252315,76.3388796,"Sunrise Hospital, Ernakulam, Seaport Airport Road, Thrikkakkara, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682030, India"
N/A,hospital,10.3285722,76.9558507,"Pollachi - Valparai Road, Valparai, Coimbatore District, Tamil Nadu, 642127, India"
Naliyath Medical Chamber,hospital,9.9432462,76.3741513,"Naliyath Medical Chamber, Bypass Road, Mamala, Thiruvamkulam, Kanayannur, Ernakulam District, Kerala, 682305, India"
"Nair's Hospital , Kochi",hospital,9.9502203,76.3179964,"Nair's Hospital , Kochi, Salem - Kochi - Kanyakumari Road, Thykoodam, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682038, India"
Dr. Joys Hospital,hospital,9.9585788,76.3192419,"Dr. Joys Hospital, Salem - Kochi - Kanyakumari Road, Thykoodam, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682019, India"
Varma Hospital,hospital,9.9538555,76.3423588,"Varma Hospital, Ettumanoor - Ernakulam Road, Petta, Thrippunithura, Kanayannur, Ernakulam District, Kerala, 682301, India"
Government Ayurveda Hospital,hospital,9.9438728,76.349062,"Government Ayurveda Hospital, Ettumanoor - Ernakulam Road, Santhi Nagar, Chathari, Thrippunithura, Kanayannur, Ernakulam District, Kerala, 682301, India"
PNVM Hospital and Research Centre,hospital,9.9859833,76.2814393,"PNVM Hospital and Research Centre, Banerji Road, Ernakulam North, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682018, India"
Al Shifa Hospital,hospital,9.9787245,76.2867126,"Al Shifa Hospital, Rajaji Road, Pulleppady, Shenoys, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682035, India"
Sree Sudheendra Medical Mission Hospital,hospital,9.9849328,76.2832964,"Sree Sudheendra Medical Mission Hospital, Chittoor Road, Pulleppady, Ernakulam North, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682018, India"
M A J Hospital,hospital,10.0213004,76.3080439,"M A J Hospital, MAJ Road, Sahrudaya Nagar, Edapally, Ernakulam, Kanayannur, Ernakulam District, Kerala, 682024, India"
